field_id,lon,lat,area_ha
settat_166603,-7.781463,33.008995,0.805
settat_167624,-7.645812,32.975432,1.102
settat_173473,-7.565316,32.906418,0.526
settat_174679,-7.563411,32.917942,1.051
settat_175077,-7.547283,32.938050,0.407
settat_175817,-7.529983,32.929093,0.710
settat_176041,-7.535158,32.934889,0.954
settat_176156,-7.525568,32.941731,0.908
settat_176248,-7.518738,32.940207,0.851
settat_176249,-7.518254,32.939595,1.143
settat_176514,-7.513793,32.868373,0.942
settat_177310,-7.514130,32.904968,0.889
settat_177416,-7.509058,32.907572,0.580
settat_177900,-7.512388,32.940108,1.500
settat_179272,-7.446773,32.896589,0.618
settat_182483,-7.723368,32.835868,0.697
settat_184272,-7.515315,33.007686,0.823
settat_184341,-7.507750,33.000686,0.804
settat_184498,-7.499308,33.017801,0.537
settat_184705,-7.473334,33.031458,2.122
settat_184754,-7.453360,33.029950,0.508
settat_189423,-7.559279,32.618812,0.873
settat_189600,-7.557201,32.636684,0.391
settat_192217,-7.702906,32.868280,1.387
settat_194452,-7.729908,32.926695,0.658
settat_194644,-7.731679,32.935630,1.160
settat_196663,-7.720733,32.957478,0.491
settat_197768,-7.675852,32.876175,0.827
settat_198725,-7.613132,32.876306,0.558
settat_200322,-7.650236,32.931321,0.919
settat_203722,-7.493400,33.206906,0.562
settat_206596,-7.523048,33.040888,0.673
settat_207901,-7.688742,33.213446,0.942
settat_208251,-7.678822,33.249297,0.630
settat_208570,-7.673341,33.241162,0.920
settat_209053,-7.647072,33.194345,0.721
settat_209536,-7.652070,33.228874,0.937
settat_209662,-7.648896,33.239688,1.549
settat_214929,-7.632807,33.263708,0.597
settat_215002,-7.615655,33.263969,0.499
settat_218871,-7.663144,33.099841,0.631
settat_222838,-7.581640,33.170979,0.784
settat_223783,-7.533496,33.147633,0.427
settat_224538,-7.514578,33.173584,0.902
settat_225086,-7.780841,33.048899,0.460
settat_225132,-7.775755,33.026928,0.655
settat_227544,-7.668906,33.071518,1.265
settat_230714,-7.609392,33.029689,0.723
settat_234158,-7.776869,33.146944,0.459
settat_234778,-7.744803,33.167054,0.687
settat_237065,-7.785209,33.090829,0.759
settat_238683,-7.676013,33.137998,0.976
settat_238895,-7.673509,33.155431,0.378
settat_239483,-7.650473,33.173488,0.657
settat_240614,-7.657884,33.137873,0.425
settat_243481,-7.580650,32.964088,1.580
settat_243915,-7.531219,32.951850,0.418
settat_246100,-7.663542,33.304737,1.984
settat_246459,-7.632033,33.318419,0.458
settat_249445,-7.650046,33.378726,1.899
settat_249741,-7.638123,33.370777,0.593
settat_250061,-7.528306,33.186099,1.009
settat_250374,-7.499762,33.143925,1.153
settat_250507,-7.503643,33.151431,1.876
settat_251423,-7.589759,33.112160,0.541
settat_253554,-7.505168,33.095527,2.087
settat_257252,-7.454700,33.125097,0.822
settat_260698,-7.772631,33.210156,0.943
settat_260797,-7.754909,33.195015,1.178
settat_262823,-7.560363,32.987835,0.810
settat_263059,-7.526446,32.999486,0.907
settat_264116,-7.465760,33.057430,0.919
settat_264189,-7.488481,33.066088,0.718
settat_265122,-7.482280,33.054408,0.920
settat_265891,-7.444092,33.043994,0.877
settat_267978,-7.606660,33.333482,0.623
settat_268460,-7.549617,33.490369,1.719
settat_271210,-7.547851,33.412909,0.647
settat_277209,-7.337254,33.231012,0.441
settat_277416,-7.331374,33.242281,1.244
settat_278963,-7.663319,33.483772,0.539
settat_278984,-7.657376,33.482005,0.757
settat_279127,-7.665115,33.485740,1.521
settat_279429,-7.627539,33.499949,0.383
settat_279686,-7.714471,33.428616,0.605
settat_279796,-7.633782,33.447324,0.854
settat_280105,-7.637608,33.452582,1.557
settat_283306,-7.469206,33.379458,0.614
settat_285006,-7.608639,33.215711,1.826
settat_287691,-7.576342,33.235474,0.627
settat_290058,-7.761771,33.403518,1.631
settat_290117,-7.730791,33.402566,0.496
settat_293582,-7.380540,33.538302,1.279
settat_297182,-7.666931,33.379200,1.523
settat_297604,-7.593491,33.363347,0.541
settat_299096,-7.605754,33.335699,0.758
settat_300242,-7.584797,33.338173,0.622
settat_300433,-7.579436,33.334046,0.529
settat_301280,-7.558297,33.327022,0.429
settat_302742,-7.733418,33.517452,0.641
settat_303453,-7.738529,33.514770,0.431
settat_303844,-7.737594,33.437425,0.728
settat_304225,-7.722077,33.414494,0.605
settat_306093,-7.689115,33.484762,0.610
settat_306356,-7.702601,33.461093,0.682
settat_309308,-7.456202,33.336337,1.701
settat_309984,-7.453706,33.322922,1.243
settat_313297,-7.367591,33.329968,0.923
settat_313494,-7.328679,33.341258,1.632
settat_315137,-7.277982,33.346151,1.131
settat_316149,-7.502859,33.430384,1.036
settat_319247,-7.406349,33.507866,0.651
settat_322326,-7.434811,33.429789,0.500
settat_322532,-7.366172,33.516837,1.194
settat_322783,-7.356522,33.482969,0.991
settat_323316,-7.357691,33.512970,1.743
settat_324670,-7.299093,33.461635,1.560
settat_328144,-7.266989,33.429061,1.084
settat_332186,-7.205167,33.260545,0.862
settat_333080,-7.272862,33.192504,0.611
settat_334531,-7.256360,33.249615,0.841
settat_336171,-7.109282,33.263451,0.730
