pair_id,province,year,image_a,image_b,lat_a,lon_a,lat_b,lon_b
settat_56955,Settat,2025,Settat/2025/32.48353_-7.05822_2025_Settat.jpg,,32.483533,-7.05822,,
settat_57162,Settat,2025,Settat/2025/32.47554_-7.05463_2025_Settat.jpg,,32.475537,-7.054632,,
settat_58414,Settat,2025,Settat/2025/32.73015_-7.14320_2025_Settat.jpg,,32.730152,-7.143199,,
settat_60892,Settat,2025,Settat/2025/32.67755_-7.11653_2025_Settat.jpg,,32.677549,-7.11653,,
settat_61781,Settat,2025,Settat/2025/32.74491_-7.05927_2025_Settat.jpg,,32.744915,-7.059271,,
settat_64654,Settat,2025,Settat/2025/32.59171_-7.41203_2025_Settat.jpg,,32.591707,-7.412034,,
settat_65872,Settat,2025,Settat/2025/32.65856_-7.49780_2025_Settat.jpg,,32.658562,-7.497805,,
settat_66215,Settat,2025,Settat/2025/32.80519_-7.49804_2025_Settat.jpg,,32.805194,-7.498036,,
settat_66496,Settat,2025,Settat/2025/32.77439_-7.41156_2025_Settat.jpg,,32.77439,-7.411561,,
settat_66880,Settat,2025,Settat/2025/32.82427_-7.46192_2025_Settat.jpg,,32.824268,-7.461919,,
settat_68354,Settat,2025,Settat/2025/32.82784_-7.43403_2025_Settat.jpg,,32.827839,-7.434031,,
settat_68485,Settat,2025,Settat/2025/32.83685_-7.42943_2025_Settat.jpg,,32.836846,-7.429431,,
settat_69094,Settat,2025,Settat/2025/32.77229_-7.45287_2025_Settat.jpg,,32.772286,-7.452868,,
settat_69430,Settat,2025,Settat/2025/32.78505_-7.45502_2025_Settat.jpg,,32.785049,-7.455015,,
settat_70423,Settat,2025,Settat/2025/32.80851_-7.47819_2025_Settat.jpg,,32.808515,-7.478194,,
settat_71038,Settat,2025,Settat/2025/32.83556_-7.39137_2025_Settat.jpg,,32.835559,-7.391367,,
settat_71787,Settat,2025,Settat/2025/32.84782_-7.41358_2025_Settat.jpg,,32.847817,-7.413579,,
settat_71976,Settat,2025,Settat/2025/32.85393_-7.41745_2025_Settat.jpg,,32.853935,-7.417448,,
settat_74473,Settat,2025,Settat/2025/32.81956_-7.49792_2025_Settat.jpg,,32.819558,-7.497921,,
settat_76304,Settat,2025,Settat/2025/32.70057_-7.60280_2025_Settat.jpg,,32.700569,-7.602804,,
settat_76542,Settat,2025,Settat/2025/32.75105_-7.49533_2025_Settat.jpg,,32.751053,-7.495329,,
settat_77621,Settat,2025,Settat/2025/32.86096_-7.29963_2025_Settat.jpg,,32.860956,-7.29963,,
settat_77756,Settat,2025,Settat/2025/32.78739_-7.29252_2025_Settat.jpg,,32.787393,-7.292518,,
settat_77956,Settat,2025,Settat/2025/32.81736_-7.29879_2025_Settat.jpg,,32.817358,-7.29879,,
settat_79677,Settat,2025,Settat/2025/32.78479_-7.36272_2025_Settat.jpg,,32.784788,-7.362724,,
settat_83109,Settat,2025,Settat/2025/32.81426_-7.31142_2025_Settat.jpg,,32.814265,-7.311423,,
settat_83834,Settat,2025,Settat/2025/32.75798_-7.37842_2025_Settat.jpg,,32.757984,-7.378423,,
settat_86172,Settat,2025,Settat/2025/32.84555_-7.23694_2025_Settat.jpg,,32.845553,-7.23694,,
settat_86770,Settat,2025,Settat/2025/32.78689_-7.22415_2025_Settat.jpg,,32.786886,-7.224153,,
settat_88454,Settat,2025,Settat/2025/32.85320_-7.18872_2025_Settat.jpg,,32.853196,-7.188717,,
settat_90023,Settat,2025,Settat/2025/32.79897_-7.20392_2025_Settat.jpg,,32.798969,-7.203925,,
settat_90910,Settat,2025,Settat/2025/32.82932_-7.24113_2025_Settat.jpg,,32.829321,-7.241125,,
settat_90993,Settat,2025,Settat/2025/32.82896_-7.25337_2025_Settat.jpg,,32.828955,-7.253367,,
settat_94852,Settat,2025,Settat/2025/32.78619_-7.50461_2025_Settat.jpg,,32.786195,-7.504609,,
settat_95610,Settat,2025,Settat/2025/32.81365_-7.50036_2025_Settat.jpg,,32.813653,-7.500358,,
settat_95663,Settat,2025,Settat/2025/32.81532_-7.51878_2025_Settat.jpg,,32.815316,-7.518777,,
settat_96020,Settat,2025,Settat/2025/32.83328_-7.50390_2025_Settat.jpg,,32.833275,-7.5039,,
settat_97740,Settat,2025,Settat/2025/32.78118_-7.52605_2025_Settat.jpg,,32.781176,-7.526049,,
settat_103905,Settat,2025,Settat/2025/32.82497_-7.55590_2025_Settat.jpg,,32.824969,-7.555899,,
settat_103908,Settat,2025,Settat/2025/32.82443_-7.56016_2025_Settat.jpg,,32.824428,-7.560158,,
settat_105153,Settat,2025,Settat/2025/32.80860_-7.53184_2025_Settat.jpg,,32.808598,-7.531837,,
settat_105568,Settat,2025,Settat/2025/32.82182_-7.53767_2025_Settat.jpg,,32.821822,-7.537668,,
settat_106787,Settat,2025,Settat/2025/32.75459_-7.61109_2025_Settat.jpg,,32.754588,-7.611094,,
settat_106987,Settat,2025,Settat/2025/32.67497_-7.61003_2025_Settat.jpg,,32.67497,-7.610026,,
